
Count Name                                                 
----- ----                                                 
  988 index.js                                             
  750 package.json                                         
  528 license                                              
  438 README.md                                            
  399 index.d.ts                                           
  160 index.js.map                                         
  142 CHANGELOG.md                                         
  125 index.ts                                             
  104 .eslintrc                                            
  101 .nycrc                                               
   94 FUNDING.yml                                          
   90 tsconfig.json                                        
   65 implementation.js                                    
   63 types.js                                             
   61 types.d.ts                                           
   56 utils.js                                             
   48 utils.js.map                                         
   45 index.cjs                                            
   45 types.js.map                                         
   44 shim.js                                              
   44 polyfill.js                                          
   44 .editorconfig                                        
   44 auto.js                                              
   42 index.mjs                                            
   40 filter.js                                            
   40 map.js                                               
   39 index.md                                             
   39 every.js                                             
   39 reduce.js                                            
   39 some.js                                              
   38 index.d.mts                                          
   36 iterator.js                                          
   36 types.ts                                             
   36 find.js                                              
   35 AT.js                                                
   35 constructor.js                                       
   34 includes.js                                          
   32 for-each.js                                          
   32 set.js                                               
   31 build-manifest.json                                  
   31 app-paths-manifest.json                              
   31 parse.js                                             
   30 next-font-manifest.json                              
   30 server-reference-manifest.json                       
   29 index.d.cts                                          
   28 values.js                                            
   28 page.js.map                                          
   28 page_client-reference-manifest.js                    
   28 react-loadable-manifest.json                         
   28 page.js                                              
   27 entries.js                                           
   27 slice.js                                             
   27 constants.js                                         
   27 get.js                                               
   27 reverse.js                                           
   27 keys.js                                              
   26 ToString.js                                          
   26 utils.d.ts                                           
   26 from.js                                              
   26 to-string.js                                         
   25 tests.js                                             
   25 sort.js                                              
   24 to-string-tag.js                                     
   23 shimmed.js                                           
   23 fill.js                                              
   23 flat-map.js                                          
   22 concat.js                                            
   22 page.js.nft.json                                     
   22 data.ts                                              
   21 _full.segment.rsc                                    
   21 _tree.segment.rsc                                    
   21 group-by.js                                          
   21 __PAGE__.segment.rsc                                 
   21 _index.segment.rsc                                   
   21 SameValue.js                                         
   21 _head.segment.rsc                                    
   21 with.js                                              
   20 SameValueZero.js                                     
   20 page.tsx                                             
   20 link.js                                              
   20 Form.tsx                                             
   20 match-all.js                                         
   20 copy-within.js                                       
   20 Form-native-validation.tsx                           
   20 find-last.js                                         
   20 util.js                                              
   20 last-index-of.js                                     
   20 reduce-right.js                                      
   20 to-reversed.js                                       
   20 to-sorted.js                                         
   20 find-last-index.js                                   
   20 join.js                                              
   20 index-of.js                                          
   20 find-index.js                                        
   18 of.js                                                
   18 to-spliced.js                                        
   18 replace.js                                           
   18 LICENSE.md                                           
   18 trim.js                                              
   18 index.d.ts.map                                       
   17 replace-all.js                                       
   17 toPrimitive.js                                       
   17 repeat.js                                            
   17 min.js                                               
   17 split.js                                             
   17 bind.js                                              
   16 max.js                                               
   16 setFunctionName.js                                   
   16 server.js                                            
   16 clamp.js                                             
   16 toPropertyKey.js                                     
   16 identity.js                                          
   16 escape.js                                            
   15 trim-left.js                                         
   15 match.js                                             
   15 trim-start.js                                        
